year,station_no,station_name,josha_num,ward_office,meijo,meiko,kamiida,higashiyama,tsurumai,sakuradori,aonami,tokaido,chuo,kansai,meitetsu,kintetsu,lines
2012,17,名古屋港,1805078,0,,1,,,,,,,,,,,1
2013,17,名古屋港,1901465,0,,1,,,,,,,,,,,1
2014,17,名古屋港,1861300,0,,1,,,,,,,,,,,1
2015,17,名古屋港,1944235,0,,1,,,,,,,,,,,1
1991,18,西高蔵,716183,0,1,,,,,,,,,,,,1
1992,18,西高蔵,731456,0,1,,,,,,,,,,,,1
1993,18,西高蔵,742178,0,1,,,,,,,,,,,,1
1994,18,西高蔵,848223,0,1,,,,,,,,,,,,1
1995,18,西高蔵,1003951,0,1,,,,,,,,,,,,1
1996,18,西高蔵,890735,0,1,,,,,,,,,,,,1
1997,18,西高蔵,1158076,0,1,,,,,,,,,,,,1
1998,18,西高蔵,949754,0,1,,,,,,,,,,,,1
1999,18,西高蔵,869717,0,1,,,,,,,,,,,,1
2000,18,西高蔵,813212,0,1,,,,,,,,,,,,1
2001,18,西高蔵,842307,0,1,,,,,,,,,,,,1
2002,18,西高蔵,824812,0,1,,,,,,,,,,,,1
2003,18,西高蔵,963860,0,1,,,,,,,,,,,,1
2004,18,西高蔵,851232,0,1,,,,,,,,,,,,1
2005,18,西高蔵,894147,0,1,,,,,,,,,,,,1
2006,18,西高蔵,890593,0,1,,,,,,,,,,,,1
2007,18,西高蔵,934733,0,1,,,,,,,,,,,,1
2008,18,西高蔵,953388,0,1,,,,,,,,,,,,1
2009,18,西高蔵,932909,0,1,,,,,,,,,,,,1
2010,18,西高蔵,1021312,0,1,,,,,,,,,,,,1
2011,18,西高蔵,1070495,0,1,,,,,,,,,,,,1
2012,18,西高蔵,1083918,0,1,,,,,,,,,,,,1
2013,18,西高蔵,1120684,0,1,,,,,,,,,,,,1
2014,18,西高蔵,1157186,0,1,,,,,,,,,,,,1
2015,18,西高蔵,1209685,0,1,,,,,,,,,,,,1
1991,19,神宮西,1086660,1,1,,,,,,,,,,,,1
1992,19,神宮西,1019087,1,1,,,,,,,,,,,,1
1993,19,神宮西,996001,1,1,,,,,,,,,,,,1
1994,19,神宮西,992430,1,1,,,,,,,,,,,,1
1995,19,神宮西,966780,1,1,,,,,,,,,,,,1
1996,19,神宮西,955212,1,1,,,,,,,,,,,,1
1997,19,神宮西,997603,1,1,,,,,,,,,,,,1
1998,19,神宮西,1003287,1,1,,,,,,,,,,,,1
1999,19,神宮西,1045286,1,1,,,,,,,,,,,,1
2000,19,神宮西,976396,1,1,,,,,,,,,,,,1
2001,19,神宮西,1088522,1,1,,,,,,,,,,,,1
2002,19,神宮西,1006119,1,1,,,,,,,,,,,,1
2003,19,神宮西,1142355,1,1,,,,,,,,,,,,1
2004,19,神宮西,1192933,1,1,,,,,,,,,,,,1
2005,19,神宮西,1217547,1,1,,,,,,,,,,,,1
2006,19,神宮西,1276780,1,1,,,,,,,,,,,,1
2007,19,神宮西,1300423,1,1,,,,,,,,,,,,1
2008,19,神宮西,1325282,1,1,,,,,,,,,,,,1
2009,19,神宮西,1349502,1,1,,,,,,,,,,,,1
2010,19,神宮西,1334536,1,1,,,,,,,,,,,,1
2011,19,神宮西,1397563,1,1,,,,,,,,,,,,1
2012,19,神宮西,1407617,1,1,,,,,,,,,,,,1
2013,19,神宮西,1462172,1,1,,,,,,,,,,,,1
2014,19,神宮西,1481086,1,1,,,,,,,,,,,,1
2015,19,神宮西,1558722,1,1,,,,,,,,,,,,1
1991,20,伝馬町,2710955,0,1,,,,,,,,,,,,1
1992,20,伝馬町,2500627,0,1,,,,,,,,,,,,1
1993,20,伝馬町,2384176,0,1,,,,,,,,,,,,1
1994,20,伝馬町,2286132,0,1,,,,,,,,,,,,1
1995,20,伝馬町,2453055,0,1,,,,,,,,,,,,1
1996,20,伝馬町,2269680,0,1,,,,,,,,,,,,1
1997,20,伝馬町,2223770,0,1,,,,,,,,,,,,1
1998,20,伝馬町,2150635,0,1,,,,,,,,,,,,1
1999,20,伝馬町,2163519,0,1,,,,,,,,,,,,1
2000,20,伝馬町,2098803,0,1,,,,,,,,,,,,1
2001,20,伝馬町,2297186,0,1,,,,,,,,,,,,1
2002,20,伝馬町,2175578,0,1,,,,,,,,,,,,1
2003,20,伝馬町,2525294,0,1,,,,,,,,,,,,1
2004,20,伝馬町,2293991,0,1,,,,,,,,,,,,1
2005,20,伝馬町,2392475,0,1,,,,,,,,,,,,1
2006,20,伝馬町,2424804,0,1,,,,,,,,,,,,1
2007,20,伝馬町,2431493,0,1,,,,,,,,,,,,1
2008,20,伝馬町,2408935,0,1,,,,,,,,,,,,1
2009,20,伝馬町,2343451,0,1,,,,,,,,,,,,1
2010,20,伝馬町,2419192,0,1,,,,,,,,,,,,1
2011,20,伝馬町,2447062,0,1,,,,,,,,,,,,1
2012,20,伝馬町,2513670,0,1,,,,,,,,,,,,1
2013,20,伝馬町,2566001,0,1,,,,,,,,,,,,1
2014,20,伝馬町,2592770,0,1,,,,,,,,,,,,1
2015,20,伝馬町,2666475,0,1,,,,,,,,,,,,1
1991,21,堀田,2019171,0,1,,,,,,,,,,,,1
1992,21,堀田,1933821,0,1,,,,,,,,,,,,1
1993,21,堀田,1828759,0,1,,,,,,,,,,,,1
1994,21,堀田,1856810,0,1,,,,,,,,,,,,1
1995,21,堀田,1898417,0,1,,,,,,,,,,,,1
1996,21,堀田,1901231,0,1,,,,,,,,,,,,1
1997,21,堀田,1939484,0,1,,,,,,,,,,,,1
1998,21,堀田,1848287,0,1,,,,,,,,,,,,1
1999,21,堀田,1680660,0,1,,,,,,,,,,,,1
2000,21,堀田,1792926,0,1,,,,,,,,,,,,1
2001,21,堀田,1841031,0,1,,,,,,,,,,,,1
2002,21,堀田,2004859,0,1,,,,,,,,,,,,1
2003,21,堀田,2079869,0,1,,,,,,,,,,,,1
2004,21,堀田,2043849,0,1,,,,,,,,,,,,1
2005,21,堀田,2309216,0,1,,,,,,,,,,,,1
2006,21,堀田,2438415,0,1,,,,,,,,,,,,1
2007,21,堀田,2546841,0,1,,,,,,,,,,,,1
2008,21,堀田,2550212,0,1,,,,,,,,,,,,1
2009,21,堀田,2488626,0,1,,,,,,,,,,,,1
2010,21,堀田,2473802,0,1,,,,,,,,,,,,1
2011,21,堀田,2482648,0,1,,,,,,,,,,,,1
2012,21,堀田,2537314,0,1,,,,,,,,,,,,1
2013,21,堀田,2654443,0,1,,,,,,,,,,,,1
2014,21,堀田,2662137,0,1,,,,,,,,,,,,1
2015,21,堀田,2745249,0,1,,,,,,,,,,,,1
1991,22,妙音通,638665,0,1,,,,,,,,,,,,1
1992,22,妙音通,600915,0,1,,,,,,,,,,,,1
1993,22,妙音通,602143,0,1,,,,,,,,,,,,1
1994,22,妙音通,535234,0,1,,,,,,,,,,,,1
1995,22,妙音通,527074,0,1,,,,,,,,,,,,1
1996,22,妙音通,514534,0,1,,,,,,,,,,,,1
1997,22,妙音通,490296,0,1,,,,,,,,,,,,1
1998,22,妙音通,474759,0,1,,,,,,,,,,,,1
1999,22,妙音通,477067,0,1,,,,,,,,,,,,1
2000,22,妙音通,458600,0,1,,,,,,,,,,,,1
2001,22,妙音通,477067,0,1,,,,,,,,,,,,1
2002,22,妙音通,479581,0,1,,,,,,,,,,,,1
2003,22,妙音通,641120,0,1,,,,,,,,,,,,1
2004,22,妙音通,604355,0,1,,,,,,,,,,,,1
2005,22,妙音通,669540,0,1,,,,,,,,,,,,1
2006,22,妙音通,687424,0,1,,,,,,,,,,,,1
2007,22,妙音通,708960,0,1,,,,,,,,,,,,1
2008,22,妙音通,695442,0,1,,,,,,,,,,,,1
2009,22,妙音通,707431,0,1,,,,,,,,,,,,1
2010,22,妙音通,665341,0,1,,,,,,,,,,,,1
2011,22,妙音通,677824,0,1,,,,,,,,,,,,1
2012,22,妙音通,670287,0,1,,,,,,,,,,,,1
2013,22,妙音通,671007,0,1,,,,,,,,,,,,1
2014,22,妙音通,679963,0,1,,,,,,,,,,,,1
2015,22,妙音通,711269,0,1,,,,,,,,,,,,1
1991,23,新瑞橋,4849695,0,1,,,,,,,,,,,,1
1992,23,新瑞橋,4669785,0,1,,,,,,,,,,,,1
1993,23,新瑞橋,4888046,0,1,,,,,,,,,,,,1
1994,23,新瑞橋,2211967,0,1,,,,,,,,,,,,1
1995,23,新瑞橋,2120933,0,1,,,,,,,,,,,,1
1996,23,新瑞橋,2251816,0,1,,,,,,,,,,,,1
1997,23,新瑞橋,2222147,0,1,,,,,,,,,,,,1
1998,23,新瑞橋,1949812,0,1,,,,,,,,,,,,1
1999,23,新瑞橋,1934205,0,1,,,,,,,,,,,,1
2000,23,新瑞橋,1899022,0,1,,,,,,,,,,,,1
2001,23,新瑞橋,1998138,0,1,,,,,,,,,,,,1
2002,23,新瑞橋,2125060,0,1,,,,,,,,,,,,1
2003,23,新瑞橋,2339650,0,1,,,,,,,,,,,,1
2004,23,新瑞橋,2283852,0,1,,,,,,,,,,,,1
2005,23,新瑞橋,2476884,0,1,,,,,,,,,,,,1
2006,23,新瑞橋,2507523,0,1,,,,,,,,,,,,1
2007,23,新瑞橋,2563282,0,1,,,,,,,,,,,,1
2008,23,新瑞橋,2542023,0,1,,,,,,,,,,,,1
2009,23,新瑞橋,2576331,0,1,,,,,,,,,,,,1
2010,23,新瑞橋,2716984,0,1,,,,,,,,,,,,1
2011,23,新瑞橋,2727497,0,1,,,,,,,,,,,,1
2012,23,新瑞橋,2776909,0,1,,,,,,,,,,,,1
2013,23,新瑞橋,2786458,0,1,,,,,,,,,,,,1
2014,23,新瑞橋,2793557,0,1,,,,,,,,,,,,1
2015,23,新瑞橋,2820589,0,1,,,,,,,,,,,,1
1991,24,瑞穂運動場東,,0,,,,,,,,,,,,,0
1992,24,瑞穂運動場東,,0,,,,,,,,,,,,,0
1993,24,瑞穂運動場東,,0,,,,,,,,,,,,,0
1994,24,瑞穂運動場東,,0,,,,,,,,,,,,,0
1995,24,瑞穂運動場東,,0,,,,,,,,,,,,,0
1996,24,瑞穂運動場東,,0,,,,,,,,,,,,,0
1997,24,瑞穂運動場東,,0,,,,,,,,,,,,,0
1998,24,瑞穂運動場東,,0,,,,,,,,,,,,,0
1999,24,瑞穂運動場東,,0,,,,,,,,,,,,,0
2000,24,瑞穂運動場東,,0,,,,,,,,,,,,,0
2001,24,瑞穂運動場東,,0,,,,,,,,,,,,,0
2002,24,瑞穂運動場東,,0,,,,,,,,,,,,,0
2003,24,瑞穂運動場東,,0,,,,,,,,,,,,,0
2004,24,瑞穂運動場東,458061,0,1,,,,,,,,,,,,1
2005,24,瑞穂運動場東,1177160,0,1,,,,,,,,,,,,1
2006,24,瑞穂運動場東,1297024,0,1,,,,,,,,,,,,1
2007,24,瑞穂運動場東,1355670,0,1,,,,,,,,,,,,1
2008,24,瑞穂運動場東,1410093,0,1,,,,,,,,,,,,1
2009,24,瑞穂運動場東,1435043,0,1,,,,,,,,,,,,1
2010,24,瑞穂運動場東,1465573,0,1,,,,,,,,,,,,1
2011,24,瑞穂運動場東,1515112,0,1,,,,,,,,,,,,1
2012,24,瑞穂運動場東,1554300,0,1,,,,,,,,,,,,1
2013,24,瑞穂運動場東,1633277,0,1,,,,,,,,,,,,1
2014,24,瑞穂運動場東,1689422,0,1,,,,,,,,,,,,1
2015,24,瑞穂運動場東,1764372,0,1,,,,,,,,,,,,1
1991,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,,0,,,,,,,,,,,,,0
1992,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,,0,,,,,,,,,,,,,0
1993,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,,0,,,,,,,,,,,,,0
1994,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,,0,,,,,,,,,,,,,0
1995,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,,0,,,,,,,,,,,,,0
1996,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,,0,,,,,,,,,,,,,0
1997,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,,0,,,,,,,,,,,,,0
1998,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,,0,,,,,,,,,,,,,0
1999,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,,0,,,,,,,,,,,,,0
2000,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,,0,,,,,,,,,,,,,0
2001,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,,0,,,,,,,,,,,,,0
2002,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,,0,,,,,,,,,,,,,0
2003,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,,0,,,,,,,,,,,,,0
2004,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,331573,0,1,,,,,,,,,,,,1
2005,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,799674,0,1,,,,,,,,,,,,1
2006,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,918023,0,1,,,,,,,,,,,,1
2007,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,976686,0,1,,,,,,,,,,,,1
2008,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,1024897,0,1,,,,,,,,,,,,1
2009,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,1031307,0,1,,,,,,,,,,,,1
2010,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,1022181,0,1,,,,,,,,,,,,1
2011,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,1042362,0,1,,,,,,,,,,,,1
2012,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,1088373,0,1,,,,,,,,,,,,1
2013,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,1100815,0,1,,,,,,,,,,,,1
2014,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,1125779,0,1,,,,,,,,,,,,1
2015,25,総合ﾘﾊﾋﾞﾘｾﾝﾀｰ,1160068,0,1,,,,,,,,,,,,1
1991,26,八事,,0,,,,,,,,,,,,,0
1992,26,八事,,0,,,,,,,,,,,,,0
1993,26,八事,,0,,,,,,,,,,,,,0
1994,26,八事,,0,,,,,,,,,,,,,0
1995,26,八事,,0,,,,,,,,,,,,,0
1996,26,八事,,0,,,,,,,,,,,,,0
1997,26,八事,,0,,,,,,,,,,,,,0
1998,26,八事,,0,,,,,,,,,,,,,0
1999,26,八事,,0,,,,,,,,,,,,,0
2000,26,八事,,0,,,,,,,,,,,,,0
2001,26,八事,,0,,,,,,,,,,,,,0
2002,26,八事,,0,,,,,,,,,,,,,0
2003,26,八事,,0,,,,,,,,,,,,,0
2004,26,八事,729187,0,1,,,,,,,,,,,,1
2005,26,八事,1854721,0,1,,,,,,,,,,,,1
2006,26,八事,2048594,0,1,,,,,,,,,,,,1
2007,26,八事,2176717,0,1,,,,,,,,,,,,1
2008,26,八事,2266755,0,1,,,,,,,,,,,,1
2009,26,八事,2321403,0,1,,,,,,,,,,,,1
2010,26,八事,3669253,0,1,,,,,,,,,,,,1
2011,26,八事,2295403,0,1,,,,,,,,,,,,1
2012,26,八事,2383024,0,1,,,,,,,,,,,,1
2013,26,八事,2482432,0,1,,,,,,,,,,,,1
2014,26,八事,2554606,0,1,,,,,,,,,,,,1
2015,26,八事,2692970,0,1,,,,,,,,,,,,1
1991,27,八事日赤,,0,,,,,,,,,,,,,0
1992,27,八事日赤,,0,,,,,,,,,,,,,0
1993,27,八事日赤,,0,,,,,,,,,,,,,0
1994,27,八事日赤,,0,,,,,,,,,,,,,0
1995,27,八事日赤,,0,,,,,,,,,,,,,0
1996,27,八事日赤,,0,,,,,,,,,,,,,0
1997,27,八事日赤,,0,,,,,,,,,,,,,0
1998,27,八事日赤,,0,,,,,,,,,,,,,0
1999,27,八事日赤,,0,,,,,,,,,,,,,0
2000,27,八事日赤,,0,,,,,,,,,,,,,0
2001,27,八事日赤,,0,,,,,,,,,,,,,0
2002,27,八事日赤,,0,,,,,,,,,,,,,0
2003,27,八事日赤,,0,,,,,,,,,,,,,0
2004,27,八事日赤,643137,0,1,,,,,,,,,,,,1
2005,27,八事日赤,1701779,0,1,,,,,,,,,,,,1
2006,27,八事日赤,1939909,0,1,,,,,,,,,,,,1
2007,27,八事日赤,2021183,0,1,,,,,,,,,,,,1
2008,27,八事日赤,2017102,0,1,,,,,,,,,,,,1
2009,27,八事日赤,2021260,0,1,,,,,,,,,,,,1
2010,27,八事日赤,2094489,0,1,,,,,,,,,,,,1
2011,27,八事日赤,2146537,0,1,,,,,,,,,,,,1
2012,27,八事日赤,2232748,0,1,,,,,,,,,,,,1
2013,27,八事日赤,2278721,0,1,,,,,,,,,,,,1
2014,27,八事日赤,2308864,0,1,,,,,,,,,,,,1
2015,27,八事日赤,2559831,0,1,,,,,,,,,,,,1
1991,28,名古屋大学,,0,,,,,,,,,,,,,0
1992,28,名古屋大学,,0,,,,,,,,,,,,,0
1993,28,名古屋大学,,0,,,,,,,,,,,,,0
1994,28,名古屋大学,,0,,,,,,,,,,,,,0
1995,28,名古屋大学,,0,,,,,,,,,,,,,0
1996,28,名古屋大学,,0,,,,,,,,,,,,,0
1997,28,名古屋大学,,0,,,,,,,,,,,,,0
1998,28,名古屋大学,,0,,,,,,,,,,,,,0
1999,28,名古屋大学,,0,,,,,,,,,,,,,0
2000,28,名古屋大学,,0,,,,,,,,,,,,,0
2001,28,名古屋大学,,0,,,,,,,,,,,,,0
2002,28,名古屋大学,,0,,,,,,,,,,,,,0
2003,28,名古屋大学,663562,0,1,,,,,,,,,,,,1
2004,28,名古屋大学,2634261,0,1,,,,,,,,,,,,1
2005,28,名古屋大学,2895894,0,1,,,,,,,,,,,,1
2006,28,名古屋大学,3138237,0,1,,,,,,,,,,,,1
2007,28,名古屋大学,3265892,0,1,,,,,,,,,,,,1
2008,28,名古屋大学,3497816,0,1,,,,,,,,,,,,1
2009,28,名古屋大学,3637349,0,1,,,,,,,,,,,,1
2010,28,名古屋大学,4251444,0,1,,,,,,,,,,,,1
2011,28,名古屋大学,3672574,0,1,,,,,,,,,,,,1
2012,28,名古屋大学,3798089,0,1,,,,,,,,,,,,1
2013,28,名古屋大学,3867341,0,1,,,,,,,,,,,,1
2014,28,名古屋大学,3909531,0,1,,,,,,,,,,,,1
2015,28,名古屋大学,3999633,0,1,,,,,,,,,,,,1
1991,29,本山,,0,,,,,,,,,,,,,0
1992,29,本山,,0,,,,,,,,,,,,,0
1993,29,本山,,0,,,,,,,,,,,,,0
1994,29,本山,,0,,,,,,,,,,,,,0
1995,29,本山,,0,,,,,,,,,,,,,0
1996,29,本山,,0,,,,,,,,,,,,,0
1997,29,本山,,0,,,,,,,,,,,,,0
1998,29,本山,,0,,,,,,,,,,,,,0
1999,29,本山,,0,,,,,,,,,,,,,0
2000,29,本山,,0,,,,,,,,,,,,,0
2001,29,本山,,0,,,,,,,,,,,,,0
2002,29,本山,,0,,,,,,,,,,,,,0
2003,29,本山,154501,0,1,,,,,,,,,,,,1
2004,29,本山,707189,0,1,,,,,,,,,,,,1
2005,29,本山,953394,0,1,,,,,,,,,,,,1
2006,29,本山,1033889,0,1,,,,,,,,,,,,1
2007,29,本山,1074746,0,1,,,,,,,,,,,,1
2008,29,本山,1123969,0,1,,,,,,,,,,,,1
2009,29,本山,1145418,0,1,,,,,,,,,,,,1
2010,29,本山,1168415,0,1,,,,,,,,,,,,1
2011,29,本山,1175894,0,1,,,,,,,,,,,,1
2012,29,本山,1220626,0,1,,,,,,,,,,,,1
2013,29,本山,1282591,0,1,,,,,,,,,,,,1
2014,29,本山,1275093,0,1,,,,,,,,,,,,1
2015,29,本山,1298890,0,1,,,,,,,,,,,,1
1991,30,自由ケ丘,,0,,,,,,,,,,,,,0
1992,30,自由ケ丘,,0,,,,,,,,,,,,,0
1993,30,自由ケ丘,,0,,,,,,,,,,,,,0
1994,30,自由ケ丘,,0,,,,,,,,,,,,,0
1995,30,自由ケ丘,,0,,,,,,,,,,,,,0
1996,30,自由ケ丘,,0,,,,,,,,,,,,,0
1997,30,自由ケ丘,,0,,,,,,,,,,,,,0
1998,30,自由ケ丘,,0,,,,,,,,,,,,,0
1999,30,自由ケ丘,,0,,,,,,,,,,,,,0
2000,30,自由ケ丘,,0,,,,,,,,,,,,,0
2001,30,自由ケ丘,,0,,,,,,,,,,,,,0
2002,30,自由ケ丘,,0,,,,,,,,,,,,,0
2003,30,自由ケ丘,479643,0,1,,,,,,,,,,,,1
2004,30,自由ケ丘,1575958,0,1,,,,,,,,,,,,1
2005,30,自由ケ丘,1866037,0,1,,,,,,,,,,,,1
2006,30,自由ケ丘,2030371,0,1,,,,,,,,,,,,1
2007,30,自由ケ丘,2083697,0,1,,,,,,,,,,,,1
2008,30,自由ケ丘,2165480,0,1,,,,,,,,,,,,1
2009,30,自由ケ丘,2214088,0,1,,,,,,,,,,,,1
2010,30,自由ケ丘,2449548,0,1,,,,,,,,,,,,1
2011,30,自由ケ丘,2334396,0,1,,,,,,,,,,,,1
2012,30,自由ケ丘,2408826,0,1,,,,,,,,,,,,1
2013,30,自由ケ丘,2491277,0,1,,,,,,,,,,,,1
2014,30,自由ケ丘,2481608,0,1,,,,,,,,,,,,1
2015,30,自由ケ丘,2525034,0,1,,,,,,,,,,,,1
1991,31,茶屋ケ坂,,0,,,,,,,,,,,,,0
1992,31,茶屋ケ坂,,0,,,,,,,,,,,,,0
1993,31,茶屋ケ坂,,0,,,,,,,,,,,,,0
1994,31,茶屋ケ坂,,0,,,,,,,,,,,,,0
1995,31,茶屋ケ坂,,0,,,,,,,,,,,,,0
1996,31,茶屋ケ坂,,0,,,,,,,,,,,,,0
1997,31,茶屋ケ坂,,0,,,,,,,,,,,,,0
1998,31,茶屋ケ坂,,0,,,,,,,,,,,,,0
1999,31,茶屋ケ坂,,0,,,,,,,,,,,,,0
2000,31,茶屋ケ坂,,0,,,,,,,,,,,,,0
2001,31,茶屋ケ坂,,0,,,,,,,,,,,,,0
2002,31,茶屋ケ坂,,0,,,,,,,,,,,,,0
2003,31,茶屋ケ坂,382195,0,1,,,,,,,,,,,,1
2004,31,茶屋ケ坂,1542941,0,1,,,,,,,,,,,,1
2005,31,茶屋ケ坂,1916713,0,1,,,,,,,,,,,,1
2006,31,茶屋ケ坂,2065873,0,1,,,,,,,,,,,,1
2007,31,茶屋ケ坂,2148133,0,1,,,,,,,,,,,,1
2008,31,茶屋ケ坂,2193528,0,1,,,,,,,,,,,,1
2009,31,茶屋ケ坂,2270011,0,1,,,,,,,,,,,,1
2010,31,茶屋ケ坂,2318621,0,1,,,,,,,,,,,,1
2011,31,茶屋ケ坂,2377328,0,1,,,,,,,,,,,,1
2012,31,茶屋ケ坂,2425034,0,1,,,,,,,,,,,,1
2013,31,茶屋ケ坂,2490399,0,1,,,,,,,,,,,,1
2014,31,茶屋ケ坂,2533418,0,1,,,,,,,,,,,,1
2015,31,茶屋ケ坂,2579494,0,1,,,,,,,,,,,,1
1991,32,砂田橋,,0,,,,,,,,,,,,,0
1992,32,砂田橋,,0,,,,,,,,,,,,,0
1993,32,砂田橋,,0,,,,,,,,,,,,,0
1994,32,砂田橋,,0,,,,,,,,,,,,,0
1995,32,砂田橋,,0,,,,,,,,,,,,,0
1996,32,砂田橋,,0,,,,,,,,,,,,,0
1997,32,砂田橋,,0,,,,,,,,,,,,,0
1998,32,砂田橋,,0,,,,,,,,,,,,,0
1999,32,砂田橋,273672,0,1,,,,,,,,,,,,1
2000,32,砂田橋,1549077,0,1,,,,,,,,,,,,1
2001,32,砂田橋,1778623,0,1,,,,,,,,,,,,1
2002,32,砂田橋,2018784,0,1,,,,,,,,,,,,1
2003,32,砂田橋,2266429,0,1,,,,,,,,,,,,1
2004,32,砂田橋,1887843,0,1,,,,,,,,,,,,1
2005,32,砂田橋,2210473,0,1,,,,,,,,,,,,1
2006,32,砂田橋,2342551,0,1,,,,,,,,,,,,1
2007,32,砂田橋,2396357,0,1,,,,,,,,,,,,1
2008,32,砂田橋,2424114,0,1,,,,,,,,,,,,1
2009,32,砂田橋,2415118,0,1,,,,,,,,,,,,1
2010,32,砂田橋,2621844,0,1,,,,,,,,,,,,1
2011,32,砂田橋,2459042,0,1,,,,,,,,,,,,1
2012,32,砂田橋,2582706,0,1,,,,,,,,,,,,1
2013,32,砂田橋,2645130,0,1,,,,,,,,,,,,1
2014,32,砂田橋,2672275,0,1,,,,,,,,,,,,1
2015,32,砂田橋,2728331,0,1,,,,,,,,,,,,1
1991,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,,0,,,,,,,,,,,,,0
1992,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,,0,,,,,,,,,,,,,0
1993,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,,0,,,,,,,,,,,,,0
1994,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,,0,,,,,,,,,,,,,0
1995,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,,0,,,,,,,,,,,,,0
1996,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,,0,,,,,,,,,,,,,0
1997,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,,0,,,,,,,,,,,,,0
1998,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,,0,,,,,,,,,,,,,0
1999,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,103513,0,1,,,,,,,,,,,,1
2000,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,630367,0,1,,,,,,,,,,,,1
2001,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,1873634,0,1,,,,,,,,,,,,1
2002,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,1850147,0,1,,,,,,,,,,,,1
2003,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,1900512,0,1,,,,,,,,,,,,1
2004,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,2037975,0,1,,,,,,,,,,,,1
2005,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,2305746,0,1,,,,,,,,,,,,1
2006,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,3271822,0,1,,,,,,,,,,,,1
2007,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,3042112,0,1,,,,,,,,,,,,1
2008,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,3088156,0,1,,,,,,,,,,,,1
2009,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,3135204,0,1,,,,,,,,,,,,1
2010,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,3021405,0,1,,,,,,,,,,,,1
2011,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,3508196,0,1,,,,,,,,,,,,1
2012,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,3453763,0,1,,,,,,,,,,,,1
2013,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,3676697,0,1,,,,,,,,,,,,1
2014,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,3710770,0,1,,,,,,,,,,,,1
2015,33,ﾅｺﾞﾔﾄﾞｰﾑ前矢田,3822943,0,1,,,,,,,,,,,,1
1991,34,上飯田,,0,,,,,,,,,,,,,0
1992,34,上飯田,,0,,,,,,,,,,,,,0
1993,34,上飯田,,0,,,,,,,,,,,,,0
1994,34,上飯田,,0,,,,,,,,,,,,,0
1995,34,上飯田,,0,,,,,,,,,,,,,0
1996,34,上飯田,,0,,,,,,,,,,,,,0
1997,34,上飯田,,0,,,,,,,,,,,,,0
1998,34,上飯田,,0,,,,,,,,,,,,,0
1999,34,上飯田,,0,,,,,,,,,,,,,0
2000,34,上飯田,,0,,,,,,,,,,,,,0
